Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
13303.png            | 0.4621 | 2.16 | 20.19 | 0.6809
1331.png             | 0.4637 | 2.16 | 20.82 | 0.8040
13322.png            | 0.4677 | 2.14 | 18.23 | 0.8700
13324.png            | 0.4594 | 2.18 | 20.74 | 0.8370
13329.png            | 0.4589 | 2.18 | 20.12 | 0.7685
13340.png            | 0.4602 | 2.17 | 23.91 | 0.8159
13353.png            | 0.4649 | 2.15 | 20.04 | 0.9387
13357.png            | 0.4629 | 2.16 | 20.52 | 0.7726
13359.png            | 0.4560 | 2.19 | 19.34 | 0.6591
13389.png            | 0.4557 | 2.19 | 24.92 | 0.6477
1339.png             | 0.4708 | 2.12 | 22.28 | 0.8025
13403.png            | 0.4810 | 2.08 | 19.99 | 0.8939
1342.png             | 0.4729 | 2.11 | 20.77 | 0.7395
13432.png            | 0.4780 | 2.09 | 20.17 | 0.8895
13439.png            | 0.4733 | 2.11 | 21.46 | 0.4409
13445.png            | 0.4803 | 2.08 | 25.98 | 0.9339
13451.png            | 0.4681 | 2.14 | 17.66 | 0.7725
13458.png            | 0.4711 | 2.12 | 23.45 | 0.7989
13471.png            | 0.4661 | 2.15 | 27.73 | 0.8368
13491.png            | 0.4726 | 2.12 | 20.39 | 0.7555
13510.png            | 0.4636 | 2.16 | 22.40 | 0.9739
13539.png            | 0.4761 | 2.10 | 15.97 | 0.9104
13550.png            | 0.4823 | 2.07 | 17.96 | 0.8788
13551.png            | 0.4759 | 2.10 | 17.93 | 0.7756
13552.png            | 0.4729 | 2.11 | 17.21 | 0.8093
13566.png            | 0.4806 | 2.08 | 22.40 | 0.7561
13568.png            | 0.4732 | 2.11 | 21.77 | 0.9132
13569.png            | 0.4738 | 2.11 | 18.72 | 0.7457
